input,output,hint,weight,color
bîn,岷,,69,
bîn,明仔再,(bêng),-1,
bîn,明旦再,(bêng),-1,
bîn,明那再,(bêng),-1,
bîn,民,,487,
bîn,氓,,67,
bîn,眠,,286,
bîn bāng,bîn-bāng,,727,
bîn bāng,眠夢,,836,
bîn chhn̂g,bîn-chhn̂g,,730,
bîn chhn̂g,眠床,,839,
bîn chhn̂g piⁿ,bîn-chhn̂g piⁿ,,713,
bîn chhn̂g piⁿ,眠床邊,,822,
bîn chiòng,bîn-chiòng,,713,
bîn chiòng,民衆,,822,
bîn chiòng tóng,Bîn-chiòng-tóng,,713,
bîn chiòng tóng,民衆党,,821,
